Source,Amount,Currency,Rate (USD),USD Value,Rate (USD/CHF),CHF Value,Notes
Xaman,3184.921339,XRP,1.36,4331.49,0.785,3400.22,transferable
Tangem,149.15,USD,1.00,149.15,0.785,117.08,transferable
Crypto.com,124.29,USD,1.00,124.29,0.785,97.57,transferable
Bake.com,1200.00,USD,1.00,1200.00,0.785,942.00,locked - cannot withdraw
